frame,tx_err_cm,ty_err_cm,tz_err_cm,trans_norm_cm,roll_err_deg,pitch_err_deg,yaw_err_deg,rot_angle_deg
000000,-0.046022104099210925,0.024896514015515514,-0.0015226452799277368,0.052346813890549765,-0.35122525553339723,-0.27143444273580936,0.0744322569125289,0.44994654260264266
000001,-0.06804680826519166,-0.04500632532451476,-0.051960155986841006,0.09672535988288007,-0.40245893613454353,-0.37503950125972285,-0.06334031850474237,0.5539007773083914
000002,-0.06167678390915886,0.04101516997583321,-0.011438700447852224,0.07494740628907222,-0.5566298726616128,-0.3458544602135722,0.05171677688400176,0.657230560980561
000003,-0.09488830260474049,-0.01018631641149792,-0.04140252913950038,0.1040274984433978,-0.3217460286356504,-0.3950065913979037,-0.05898617105544932,0.5129917065574078
000004,-0.03966250766698799,0.060083372605168606,-0.0009287478389796711,0.07199992187908134,-0.1861410816926425,-0.3438629617861576,-0.04758356654477379,0.39396380415934973
000005,-0.06954293633079159,-0.1470125184576121,-0.041409772527090105,0.16782034989089856,-0.13352266775859833,-0.3787738580674864,-0.023387436535901637,0.40232510167001506
000006,-0.08149487678201471,-0.012819716210632492,-0.0452233874149055,0.09407930077713984,-0.3881633360540544,-0.30922299935069725,-0.07401892439818393,0.5019194181929412
000007,-0.0450290215918088,0.030548598949886596,0.0014527285007948088,0.054432895416408056,-0.43739207701963123,-0.3068834524168442,0.02456009906349801,0.5348219157057618
000008,-0.09302738595212794,-0.016260469408901912,-0.06350891701525363,0.1138063264626988,-0.2740522648502249,-0.39622255809466356,-0.03673849256403847,0.48323492730006123
000009,-0.025338184327623747,0.026970606433796007,0.003160812550040415,0.03714065067286583,-0.39441074394032666,-0.3133216642017174,0.009379494865417101,0.5037833431994989
000010,-0.07732646972852843,-0.14863795722224182,-0.027335391060456793,0.1697640976540862,-0.19202144590265033,-0.3835292135929775,-0.017558653352648085,0.42929899811983624
000011,-0.05353537843148064,-0.024428330076120552,-0.04744578887940776,0.07559023043025515,-0.49178566850221483,-0.36568671977515355,-0.11726063998756162,0.6242572250473009
000012,-0.02717253514143321,0.01736935102678583,-0.004844617342936175,0.03261152155762755,-0.3515771265622029,-0.3676160689751054,-0.024863345903559535,0.5093347559785109
000013,-0.061971773800648805,-0.14061614456946092,-0.026907840170542485,0.15600459199722863,-0.2730027825397385,-0.32348664860690607,-0.07749921778869832,0.43046427012375355
000014,-0.04524448526833022,-0.010641088112706143,-0.04167047947293279,0.06242375399575581,-0.4725789530127583,-0.34769393617863575,-0.009577089290533738,0.5868052826467736
000015,-0.07988160867621816,0.05686304244052476,-0.021492090464880764,0.10038120816589124,-0.28524019967725595,-0.31166888292818457,-0.062079879703657026,0.4271410551702687
000016,-0.06944354754396774,-0.15326036332679038,-0.04086033408317036,0.17314939261787607,-0.10783895551966131,-0.4049163009054378,0.019786583862273416,0.4194792369663431
000017,-0.10579240017732847,-0.01714996303683325,-0.042234952119413194,0.11519524446770309,-0.3970418197883224,-0.36552921537557265,-0.06397200397856821,0.5436062063622167
000018,-0.038771038990681114,0.04855425764354049,-0.028854203852490823,0.0685074775458367,-0.40093253131255313,-0.39134555232047363,-0.038671952311201914,0.5616929955674838
000019,-0.06362620144718459,-0.151519646594922,-0.04645726567453767,0.17077697253670457,-0.23361396205120902,-0.24914926315543792,-0.019047465217086546,0.34210072653568646
